,zillow_id,furniture,texture
485,72181623,chair9,wood
486,72181609,bed1,wood
487,72181609,chair1,leather
488,72181609,chair2,wood
489,72181585,chair2,wood
490,72181585,sofa1,stone
491,72181585,sofa2,leather
492,72181585,sofa3,leather
493,72181585,sofa4,leather
494,72181578,bed1,stone
495,72181578,chair1,wood
496,72181578,chair2,leather
497,72181578,chair3,wood
498,72181578,chair4,leather
499,72181578,chair5,leather
500,72181578,chair6,wood
501,72181578,chair7,wood
502,72181578,chair8,leather
503,72181578,sofa2,wood
504,72181578,sofa3,wood
505,72181563,bed3,leather
506,72181563,chair1,wood
507,72181563,chair2,wood
508,72181563,chair3,leather
509,72181563,chair4,wood
510,72181563,sofa1,leather
511,72181563,sofa2,leather
512,72181544,chair1,leather
513,72181544,chair2,leather
514,72181544,chair3,leather
515,72181523,sofa1,wood
516,72181523,sofa2,wood
517,72181499,bed1,wood
518,72181499,bed2,leather
519,72181499,chair1,wood
520,72181499,chair2,wood
521,72181499,chair3,wood
522,72181499,chair4,wood
523,72181499,chair5,leather
524,72181499,chair6,wood
525,72181454,chair1,stone
526,72181441,chair1,wood
527,72181441,chair2,wood
528,72181441,chair3,stone
529,72181368,chair1,wood
530,72180665,bed1,wood
531,72180665,chair2,wood
532,72180665,chair3,wood
533,72180665,chair4,wood
534,72180665,chair5,wood
535,72180665,chair6,wood
536,72180665,chair7,wood
537,72180665,sofa1,wood
538,72180623,chair1,wood
539,72180623,chair2,wood
540,72180413,chair1,wood
541,72180413,chair2,leather
542,72180413,chair3,leather
543,72180413,chair4,leather
544,72180375,bed2,wood
545,72180375,sofa1,wood
546,72180337,chair10,wood
547,72180337,chair2,wood
548,72180337,chair4,wood
549,72180337,chair5,wood
550,72180337,chair6,wood
551,72180337,chair7,wood
552,72180337,chair8,wood
553,72180337,chair9,wood
554,72180337,sofa1,wood
555,72180337,sofa3,wood
556,72180319,chair1,leather
557,72180319,chair2,leather
558,72180319,chair3,leather
559,72180319,chair4,leather
560,72180319,sofa2,leather
561,72180319,sofa3,leather
562,72180319,sofa4,leather
563,72180116,bed1,wood
564,72180116,chair1,leather
565,72180116,chair2,stone
566,72180116,chair3,wood
567,72180116,chair4,wood
568,72180116,chair5,wood
569,72180116,chair6,wood
570,72179996,bed1,wood
571,72179996,chair1,leather
572,72179996,chair2,leather
573,72179996,chair3,leather
574,72179996,chair4,wood
575,72179996,chair5,stone
576,72179996,sofa1,wood
577,72179996,sofa3,wood
578,72179954,bed1,stone
579,72179954,chair1,wood
580,72179954,chair2,wood
581,72179954,chair3,wood
582,72179954,chair4,wood
583,72179954,chair5,leather
584,72179954,sofa1,leather
585,72179954,sofa3,wood
586,72179670,bed2,wood
587,72179670,chair1,wood
588,72179670,chair3,wood
589,72179670,sofa1,leather
590,72179670,sofa2,wood
591,72179661,bed1,wood
592,72179637,bed1,leather
593,72179630,bed1,wood
594,72179622,bed10,wood
595,72179622,bed2,wood
596,72179622,chair1,wood
597,72179622,chair10,wood
598,72179622,chair11,wood
599,72179622,chair2,leather
600,72179622,chair3,stone
601,72179622,chair4,wood
602,72179622,chair5,wood
603,72179622,chair6,wood
604,72179622,chair7,stone
605,72179622,chair8,wood
606,72179622,chair9,wood
607,72179622,sofa2,leather
608,72179622,sofa4,wood
609,72179622,sofa7,leather
610,72179601,chair1,leather
611,72179601,chair2,leather
612,72179601,chair3,wood
613,72179601,chair4,leather
614,72179601,sofa1,wood
615,72179584,bed8,wood
616,72179584,chair1,leather
617,72179584,chair2,wood
618,72179584,chair3,wood
619,72179584,chair4,leather
620,72179584,chair5,wood
621,72179584,chair6,wood
622,72179584,chair7,wood
623,72179584,sofa1,leather
624,72179584,sofa2,stone
625,72179584,sofa3,wood
626,72179584,sofa4,wood
627,72179457,chair5,stone
628,72179457,chair6,wood
629,72179457,chair7,leather
630,72179457,sofa1,leather
631,72179457,sofa2,leather
632,72179457,sofa3,stone
633,72179457,sofa4,leather
634,72179442,chair1,stone
635,72179442,chair2,leather
636,72179442,chair3,leather
637,72179442,chair4,wood
638,72179442,chair5,leather
639,72179442,chair6,wood
640,72179442,chair7,wood
641,72179442,sofa1,leather
642,72179442,sofa3,wood
643,72179442,sofa4,leather
644,72179438,chair1,wood
645,72179438,chair2,wood
646,72179438,chair3,wood
647,72179438,chair4,wood
648,72179438,chair5,wood
649,72179438,chair6,leather
650,72179438,chair7,wood
651,72179438,chair8,wood
652,72179420,chair1,leather
653,72179420,chair10,leather
654,72179420,chair2,wood
655,72179420,chair3,wood
656,72179420,chair4,wood
657,72179420,chair5,leather
658,72179420,chair6,wood
659,72179420,chair8,wood
660,72179420,sofa7,wood
661,72179420,sofa9,wood
662,72179412,chair1,leather
663,72179412,chair2,wood
664,72179412,chair3,wood
665,72179412,chair4,wood
666,72179412,chair5,wood
667,72179412,chair6,leather
668,72179412,chair7,wood
669,72179412,chair8,wood
670,72179372,sofa1,wood
671,72179372,sofa2,wood
672,72179238,chair1,wood
673,72179220,chair1,leather
674,72179220,chair2,leather
675,72179220,chair3,wood
676,72179220,chair4,leather
677,72179220,chair5,wood
678,72179220,chair6,wood
679,72179218,chair1,wood
680,72179218,chair10,wood
681,72179218,chair13,wood
682,72179218,chair14,wood
683,72179218,chair2,wood
684,72179218,chair3,leather
685,72179218,chair4,wood
686,72179218,chair5,wood
687,72179218,chair7,wood
688,72179218,chair8,leather
689,72179218,chair9,wood
690,72179218,sofa11,wood
691,72179218,sofa12,wood
692,72179218,sofa2,wood
693,72179218,sofa3,wood
694,72179218,sofa6,wood
695,72179182,chair1,stone
696,72179182,chair2,leather
697,72179174,bed1,leather
