72174741,bed3,wood
72174741,chair1,wood
72174741,chair2,wood
72174751,chair2,leather
72174751,chair3,wood
72174751,chair4,leather
72174751,chair5,leather
72174751,sofa1,wood
72174755,chair1,wood
72174755,chair2,leather
72174755,chair3,wood
72174755,chair4,wood
72174755,chair5,wood
72174755,sofa1,wood
72174755,sofa2,wood
72174755,sofa3,leather
72174756,chair1,leather
72174756,chair2,wood
72174756,chair3,wood
72174756,chair4,leather
72174756,chair5,wood
72174756,chair7,leather
72174756,chair9,leather
72174756,sofa1,wood
72174756,sofa2,leather
72174756,sofa3,wood
72174756,sofa6,stone
72174756,sofa8,wood
72174768,chair1,wood
72174768,chair2,wood
72174768,chair3,leather
72174777,bed1,leather
72174777,bed2,leather
72174777,chair1,wood
72174777,chair2,leather
72174777,chair3,wood
72174777,chair4,wood
72174777,sofa1,leather
72174777,sofa3,leather
72174889,chair1,wood
72174891,sofa1,stone
72174891,sofa2,wood
72174932,bed4,leather
72174932,chair2,wood
72174932,chair3,wood
72174932,chair6,wood
72174932,chair7,wood
72174932,chair8,leather
72174932,chair9,wood
72174932,sofa1,wood
72174932,sofa5,wood
72174953,chair1,leather
72174953,chair2,leather
72174953,chair3,leather
72174953,chair4,wood
72174953,chair5,wood
72174953,chair6,wood
72174953,sofa1,wood
72174971,chair1,wood
72174971,chair2,wood
72174971,chair3,wood
72174971,chair4,wood
72174971,sofa1,wood
72174971,sofa3,wood
72174971,sofa4,wood
72175003,chair1,wood
72175003,chair2,wood
72175003,chair3,leather
72175003,chair4,wood
72175003,chair5,wood
72175073,chair1,wood
72175073,chair2,leather
72175073,chair3,wood
72175073,chair4,wood
72175073,chair5,wood
72175073,sofa1,leather
72175178,chair1,leather
72175233,chair1,wood
72175239,chair1,wood
72175239,chair10,wood
72175239,chair11,wood
72175239,chair2,wood
72175239,chair3,leather
72175239,chair4,wood
72175239,chair5,leather
72175239,chair6,wood
72175239,chair7,leather
72175239,chair8,wood
72175239,chair9,wood
72175239,sofa1,wood
72175239,sofa2,wood
72175309,chair1,wood
72175309,chair2,wood
72175309,chair3,wood
72175309,sofa1,wood
72175365,chair1,stone
72175365,chair2,wood
72175365,sofa3,wood
72175440,bed1,stone
72175440,chair2,leather
72175440,chair3,wood
72175440,chair4,wood
72175440,sofa1,wood
72175440,sofa2,wood
72175454,bed1,stone
72175454,bed2,wood
72175454,chair1,leather
72175454,chair2,stone
72175463,chair1,wood
72175463,chair2,wood
72175463,chair3,wood
72175463,chair4,wood
72175517,chair1,leather
72175517,chair2,leather
72175517,chair3,leather
72175517,chair4,leather
72175517,chair5,wood
72175517,chair6,leather
72175517,chair7,leather
72175517,chair8,leather
72175517,chair9,leather
72175517,sofa1,leather
72175530,chair1,wood
72175539,chair1,leather
72175539,chair2,wood
72175539,chair3,wood
72175539,chair4,leather
72175539,chair5,leather
72175539,chair6,leather
72175539,chair7,wood
72175539,chair8,leather
72175539,sofa1,wood
72175539,sofa2,leather
72175539,sofa3,wood
72175557,bed1,wood
72175557,chair1,wood
72175557,chair2,leather
72175557,chair3,wood
72175557,sofa2,stone
72175557,sofa4,leather
72175583,bed1,wood
