72196657,949900,267,3,Aquinnah,2535,4,3,2780,16,26,OtherSeeRemarks,,0,ElectricBaseboard,,,,8,3,0,5,3,3,0,0,0,0,0,1,0,0,1,0
72196655,595000,3,3,Barnstable,2668,4,45,3467,21,239,Colonial,,3,ForcedAir,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72196547,550000,1,1,Randolph,2368,4,25,2900,0,20210,Colonial,1,2,ForcedAirGas,Donovan,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72196474,346000,14,1,Longmeadow,1106,4,25,1646,59,21462,Ranch,1,2,ForcedAirGas,Blueberry,Glenbrook,LHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72196117,368000,21,6,Amherst,1002,4,2,1865,105,12540,Farmhouse,1,0,ElectricBaseboardSteamOil,Wildwood,AmherstReg,AmherstReg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72196022,310000,21,7,Dracut,1826,3,25,1373,71,8250,Ranch,1,1,HotWaterBaseboardOil,Greenmont,DracutMiddle,DracutHigh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72195754,179900,0,0,Worcester,1602,2,1,1000,72,9671,Cape,1,1,HotWaterBaseboard,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72195727,390462,14,2,Malden,2148,2,15,1334,82,10159,Cape,1,0,HotWaterBaseboardOil,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72195447,619000,3,3,Kingston,2364,4,5,6497,17,42497,Contemporary,1,3,HotWaterBaseboardOil,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72195396,240000,18,2,Athol,1331,3,2,1670,38,203425,RanchLog,1,0,HotWaterBaseboardOilWood,ARRES,ARRMS,ARRHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72195210,230700,17,2,Westminster,1473,3,2,1296,31,50094,RaisedRanchSplitEntry,1,0,ElectricBaseboardWoodExtraFlue,WestminsterEle,OverlookMS,OakmontMtyTech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72194979,562000,17,4,Waltham,2453,4,2,2874,63,6000,Cape,1,0,Oil,Stanley,McDevittMiddle,WalthamHigh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72194928,635000,19,4,Yarmouth,2673,4,3,2356,51,14810,Ranch,1,2,HotWaterBaseboardGas,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72194817,220000,14,7,Yarmouth,2673,2,15,1318,29,0,OtherSeeRemarks,,0,CentralHeatForcedAirGas,,,,11,4,0,7,2,2,0,0,0,0,0,0,0,0,0,0
72194746,169900,2,2,Palmer,1069,3,15,1386,67,10000,Cape,1,1,HotWaterBaseboardOil,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72194480,515000,20,16,Malden,2148,8,2,4085,137,9000,Colonial,,0,CentralHeatForcedAirGas,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72194440,150000,15,1,Worcester,1604,3,1,1113,117,23518,Bungalow,,1,SteamGas,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72194440,150000,15,1,Worcester,1604,3,1,1113,117,23518,Bungalow,,1,SteamGas,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72194358,64000,6,6,Buckland,1370,3,1,1222,147,6534,Cape,1,0,ForcedAirOilWood,BucklndShlbEl,MohawkTrRgMS,MohawkTrRgHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72194236,997000,0,0,Hingham,2043,4,25,2546,41,4028,Colonial,1,2,HotWaterBaseboard,EastSchool,Hingham,Hingham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72194212,360000,17,17,Yarmouth,2673,3,2,1112,57,29620,Ranch,,0,ForcedAir,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72194203,2700000,24,3,Yarmouth,2675,4,3,9966,142,696960,TudorCarriageHouse,,0,CentralHeat,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72194139,445000,7,7,Gloucester,1930,3,15,1184,34,11520,SplitEntry,1,1,HotWaterBaseboardOil,Beeman,OMaley,GloucesterHigh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72194028,460000,14,3,Weymouth,2190,3,2,1568,87,20343,ColonialGambrelDutch,1,1,HotWaterBaseboardGas,RalphTalbot,Weymouth,WeymouthHigh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72193995,340000,11,3,Bellingham,2019,3,2,1512,54,20014,Cape,1,0,ForcedAirGas,ClaraMacy,BellinghamMem,BellinghamHigh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72193949,244900,20,4,Townsend,1469,3,1,1230,37,20066,Ranch,,1,ForcedAirGas,Spaulding,HawthorneBrook,NorthMiddlesex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72193907,422000,5,5,Peabody,1960,3,1,1186,67,13926,Cape,1,1,HotWaterBaseboardGas,SouthSchool,Higgins,PVMHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72193884,183000,14,3,Gardner,1440,3,1,1092,52,8000,Ranch,1,0,HotWaterBaseboardOil,WaterfordSt,GardnerMiddle,GardnerHigh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72193848,112000,3,3,Fitchburg,1420,2,1,1103,107,11200,Cape,1,1,ForcedAirOil,SouthStreet,Memorial,FITCHBURGHIGH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72193700,218000,20,5,Deerfield,1373,2,1,900,57,20038,Ranch,1,1,ForcedAirOil,DeerfieldEl,FronteirReg,FrontierReg,2,0,0,2,1,1,0,0,0,0,1,1,1,1,1,1
72193697,455000,181,53,Attleboro,2703,3,25,1980,0,32000,Colonial,1,2,ForcedAir,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72193688,205000,6,6,Plymouth,2360,3,1,528,52,5009,Ranch,1,0,ElectricBaseboard,MES,South,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72193686,450000,39,2,Barrington,2806,3,25,1980,22,26430,Colonial,1,2,HotWaterBaseboardGas,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72193612,327000,22,10,Somerset,2726,4,2,1288,47,10890,RaisedRanch,1,1,HotWaterBaseboardGas,North,SomersetMiddle,SBRHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72193592,400000,18,7,Huntington,1050,3,2,2188,28,830689,Contemporary,1,2,ForcedAirHeatPumpFloorFurnacePropane,Local,,Gateway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72193592,400000,18,7,Huntington,1050,3,2,2188,28,830689,Contemporary,1,2,ForcedAirHeatPumpFloorFurnacePropane,Local,,Gateway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72193572,275000,11,2,Boston,2136,3,1,1104,77,7322,Colonial,,1,HotWaterBaseboard,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72193517,500000,69,21,Bedford,1730,3,2,1728,64,61250,Cape,1,0,HotWaterBaseboardGas,DavisLane,JohnGlenn,BedfordHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72193517,500000,69,21,Bedford,1730,3,2,1728,64,61250,Cape,1,0,HotWaterBaseboardGas,DavisLane,JohnGlenn,BedfordHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72193398,397000,18,2,Sudbury,1776,3,15,1128,60,38768,Ranch,,1,ForcedAirGas,Noyes,Curtis,LSRHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72193397,349400,2,2,Weymouth,2339,3,15,1320,109,3093,MultiLevel,,0,ForcedAir,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72193353,270000,11,4,Lakeville,2347,1,1,800,77,9200,Ranch,,0,Electric,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
